From;To;Resources;tc_min;tc_max;c_exch_network
AT-CH-IT;BE-DE-LU-NL;ELECTRICITY;9.6;12.1;15.33
AT-CH-IT;FR;ELECTRICITY;7.25;7.55;15.33
BE-DE-LU-NL;AT-CH-IT;ELECTRICITY;9.6;12.1;15.33
BE-DE-LU-NL;DK-SE;ELECTRICITY;3.815;6.5;35.24
BE-DE-LU-NL;FR;ELECTRICITY;5.48;9.48;15.33
BE-DE-LU-NL;IE-UK;ELECTRICITY;2;3.4;35.24
DK-SE;BE-DE-LU-NL;ELECTRICITY;3.815;6.5;35.24
DK-SE;IE-UK;ELECTRICITY;0;1.4;35.24
ES-PT;FR;ELECTRICITY;2.8;5;15.33
FR;AT-CH-IT;ELECTRICITY;7.25;7.55;15.33
FR;BE-DE-LU-NL;ELECTRICITY;5.48;9.48;15.33
FR;ES-PT;ELECTRICITY;2.8;5;15.33
FR;IE-UK;ELECTRICITY;2;6.1;27.66
IE-UK;BE-DE-LU-NL;ELECTRICITY;2;3.4;35.24
IE-UK;DK-SE;ELECTRICITY;0;1.4;35.24
IE-UK;FR;ELECTRICITY;2;6.1;27.66
AT-CH-IT;BE-DE-LU-NL;GAS;30.02083333;30.021;0.541
AT-CH-IT;FR;GAS;4.166666667;4.167;0.541
BE-DE-LU-NL;AT-CH-IT;GAS;29.19333333;29.194;0.541
BE-DE-LU-NL;DK-SE;GAS;6.9375;6.938;0.541
BE-DE-LU-NL;FR;GAS;61.25;61.25;0.541
BE-DE-LU-NL;IE-UK;GAS;54.05833333;54.059;0.541
DK-SE;BE-DE-LU-NL;GAS;132.9233333;132.924;0.541
DK-SE;FR;GAS;23.75;23.751;0.541
DK-SE;IE-UK;GAS;62.4625;62.463;0.541
ES-PT;FR;GAS;9.35;9.351;0.541
FR;AT-CH-IT;GAS;10.85;10.851;0.541
FR;BE-DE-LU-NL;GAS;11.25;11.251;0.541
FR;ES-PT;GAS;6.875;6.876;0.541
IE-UK;BE-DE-LU-NL;GAS;27.15416667;27.1542;0.541
PT;ES;ELECTRICITY;0;5;15.33
ES;PT;ELECTRICITY;0;5;15.33
ES;FR;ELECTRICITY;0;5;15.33
FR;ES;ELECTRICITY;0;5;15.33
FR;GB;ELECTRICITY;0;5;15.33
FR;BE;ELECTRICITY;0;5;15.33
FR;LU;ELECTRICITY;0;5;15.33
FR;DE;ELECTRICITY;0;5;15.33
FR;CH;ELECTRICITY;0;5;15.33
FR;IT;ELECTRICITY;0;5;15.33
GB;IE;ELECTRICITY;0;5;15.33
GB;BE;ELECTRICITY;0;5;15.33
GB;NL;ELECTRICITY;0;5;15.33
GB;DK;ELECTRICITY;0;5;15.33
IE;GB;ELECTRICITY;0;5;15.33
BE;FR;ELECTRICITY;0;5;15.33
BE;GB;ELECTRICITY;0;5;15.33
BE;NL;ELECTRICITY;0;5;15.33
BE;DK;ELECTRICITY;0;5;15.33
BE;LU;ELECTRICITY;0;5;15.33
BE;DE;ELECTRICITY;0;5;15.33
NL;GB;ELECTRICITY;0;5;15.33
NL;DK;ELECTRICITY;0;5;15.33
NL;BE;ELECTRICITY;0;5;15.33
NL;DE;ELECTRICITY;0;5;15.33
LU;FR;ELECTRICITY;0;5;15.33
LU;BE;ELECTRICITY;0;5;15.33
LU;DE;ELECTRICITY;0;5;15.33
DE;LU;ELECTRICITY;0;5;15.33
DE;BE;ELECTRICITY;0;5;15.33
DE;NL;ELECTRICITY;0;5;15.33
DE;DK;ELECTRICITY;0;5;15.33
DE;SE;ELECTRICITY;0;5;15.33
DE;PL;ELECTRICITY;0;5;15.33
DE;CZ;ELECTRICITY;0;5;15.33
DE;AT;ELECTRICITY;0;5;15.33
