;;;Direct and indirect emissions from exterior resources;Price of exterior resources;Direct emissions;
;;units;[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];
Category;Subcategory;parameter name;gwp_op_exterior;c_op_exterior;co2_net;Comment
Non-renewable;Other non-renewable;ELECTRICITY;0.206485714;0.08433;0;
Non-renewable;Fossil fuel;GASOLINE;0.3448;0.082366044;0.25;
Non-renewable;Fossil fuel;DIESEL;0.3148;0.079743788;0.27;
Renewable;Renewable fuel;BIOETHANOL;0;0.111323944;0.25;
Renewable;Renewable fuel;BIODIESEL;0;0.120074962;0.27;
Non-renewable;Fossil fuel;LFO;0.3115;0.06015058;0.28;
Non-renewable;Fossil fuel;GAS;0.2666;0.04425306;0.2;
Renewable;Renewable fuel;GAS_RE;0;0.118326;0;
Renewable;Biomass;WOOD;0.02456;0;0;
Renewable;Biomass;ENERGY_CROPS_2;0.00756;0;0;
Renewable;Biomass;WET_BIOMASS;0.01056;0;0;
Renewable;Biomass;BIOMASS_RESIDUES;0.00324;0;0;
Renewable;Biomass;BIOWASTE;0.01488;0;0;
Non-renewable;Fossil fuel;COAL;0.4014;0.017657892;0.36;
Non-renewable;Other non-renewable;URANIUM;0.0039;0.003876456;0;
Non-renewable;Other non-renewable;WASTE;0.1501;0.023080857;0.26;
Non-renewable;Other non-renewable;H2;0.36380236;0.088003981;0;
Renewable;Renewable fuel;H2_RE;0;0.119242396;0;
Non-renewable;Other non-renewable;AMMONIA;0.455844357;0.094714031;0;
Non-renewable;Other non-renewable;METHANOL;0.4076314;0.101985823;0.24570329;
Renewable;Renewable fuel;AMMONIA_RE;0;0.081823311;0;
Renewable;Renewable fuel;METHANOL_RE;0;0.111323944;0;
Export;Export;CO2_EMISSIONS;0;0;0;
Renewable;Non-biomass;RES_WIND;0;0;0;
Renewable;Non-biomass;RES_SOLAR;0;0;0;
Renewable;Non-biomass;RES_HYDRO;0;0;0;
Renewable;Non-biomass;RES_GEO;0;0;0;
Others;Others;CO2_ATM ;0;0;0;
Others;Others;CO2_INDUSTRY ;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;
Others;Others;PT_HEAT;0;0;0;
Others;Others;ST_HEAT;0;0;0;
