;;;Local availability;Exterior availability;Direct and indirect emissions for local resource;Price for local resource;
;;units;[GWh/y];[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail_local;avail_exterior;gwp_op_local;c_op_local;Comment
Non-renewable;Other non-renewable;ELECTRICITY;0.00;0.00;0.21;0.08;
Non-renewable;Fossil fuel;GASOLINE;0.00;1000000000000000.00;0.34;0.08;
Non-renewable;Fossil fuel;DIESEL;0.00;1000000000000000.00;0.31;0.08;
Renewable;Renewable fuels;BIOETHANOL;0.00;1000000000000000.00;0.00;0.11;
Renewable;Renewable fuel;BIODIESEL;0.00;1000000000000000.00;0.00;0.12;
Non-renewable;Fossil fuel;LFO;0.00;1000000000000000.00;0.31;0.06;
Non-renewable;Fossil fuel;GAS;0.00;1000000000000000.00;0.27;0.04;
Renewable;Renewable fuel;GAS_RE;0.00;1000000000000000.00;0.00;0.12;
Renewable;Biomass;WOOD;322767.39;0.00;0.01;0.03;
Renewable;Biomass;WET_BIOMASS;172984.62;0.00;0.01;0.01;
Non-renewable;Fossil fuel;COAL;0.00;0.00;0.40;0.02;
Non-renewable;Other non-renewable;URANIUM;0.00;1000000000000000.00;0.00;0.00;
Non-renewable;Other non-renewable;WASTE;57777.84;0.00;0.15;0.02;
Non-renewable;Other non-renewable;H2;0.00;1000000000000000.00;0.36;0.09;
Renewable;Renewable fuel;H2_RE;0.00;1000000000000000.00;0.00;0.12;
Non-renewable;Other non-renewable;AMMONIA;0.00;1000000000000000.00;0.46;0.09;
Non-renewable;Other non-renewable;METHANOL;0.00;1000000000000000.00;0.41;0.10;
Renewable;Renewable fuel;AMMONIA_RE;0.00;1000000000000000.00;0.00;0.08;
Renewable;Renewable fuel;METHANOL_RE;0.00;1000000000000000.00;0.00;0.11;
Export;Export;CO2_EMISSIONS;1000000000000000.00;0.00;0.00;0.00;
Renewable;Non-biomass;RES_WIND;1000000000000000.00;0.00;0.00;0.00;
Renewable;Non-biomass;RES_SOLAR;1000000000000000.00;0.00;0.00;0.00;
Renewable;Non-biomass;RES_HYDRO;1000000000000000.00;0.00;0.00;0.00;
Renewable;Non-biomass;RES_GEO;1000000000000000.00;0.00;0.00;0.00;
Others;Others;CO2_ATM ;1000000000000000.00;0.00;0.00;0.00;
Others;Others;CO2_INDUSTRY ;0.00;0.00;0.00;0.00;
Others;Others;CO2_CAPTURED;0.00;0.00;0.00;0.00;
Others;Others;PT_HEAT;0.00;0.00;0.00;0.00;
Others;Others;ST_HEAT;0.00;0.00;0.00;0.00;
